index,Label,brand,name,price,ingredients,Combination,Dry,Normal,Oily,X,Y,dist
481,body_Oily,STACKEDSKINCARE,Dermaplaning Tool,['75'],"StackedSkincare® is a vegan, non-comedogenic, sulfate free skincare line developed by expert aesthetician Kerry Benjamin using U.S. pharmaceutical grade ingredients.
After healing from an eczema-rooted MRSA infection, Kerry was determined to help others take their power back from skin concerns that limit their lives. In 2014 StackedSkincare was born based on the technique of “stacking” professional-grade treatments to drive actives deeper into the skin. StackedSkincare is for all skin types including sensitive skin, eczema, acne, collagen loss and hyperpigmentation.
StackedSkincare is committed to effective skincare made with ingredients that are safe for our bodies and the planet.",0,0,0,1,10.447751,-66.47263000000001,
482,body_Oily,DRUNK ELEPHANT,Sweet Pitti™ Deodorant Cream,['16'],"-Mandelic Acid: Derived from almonds, mandelic acid is an AHA (alpha hydroxy acid) that is both water and lipid-soluble, which is a quality that allows it to penetrate and work within the hair follicle; mandelic acid is also an excellent killer of odor-causing bacteria while being milder to skin than glycolic acid (due to its larger molecule size).
-Arrowroot Powder: Super-absorbent powder derived from the roots of the arrowroot plant.
-Shea Butter: A concentrated butter derived from the shea fruit; shea butter has a complex triglyceride composition that gives its characteristic rich, emollient properties and skin-barrier protection.

Water/Aqua/Eau, Mandelic Acid, Maranta Arundinacea Root Powder, Caprylic/Capric Triglyceride, Isononyl Isononanoate, Glycerin, Tapioca Starch, Butyrospermum Parkii (Shea) Butter, Cetearyl Olivate, Cetearyl Alcohol, Cetyl Alcohol, Sorbitan Olivate, Sclerocarya Birrea Seed Oil, Adansonia Digitata Seed Oil, Schinziophyton Rautanenii Kernel Oil, Sclerotium Gum, Panthenol, Sodium Stearoyl Glutamate, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Hydroxyethylcellulose, Citric Acid, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin, Sodium Hydroxide.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer, styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",0,0,0,1,339.0063,-63.754265000000004,
483,body_Oily,MAELYS COSMETICS,B-Tight Lift & Firm Booty Mask,['49'],"-Pink Pepperslim: Accelerates the breakdown of fat cells.
-Guarana Plant Extract: Provides smoother skin.
-Eco Slim: Helps breakdown dietary fat.

Water, Cetyl Alcohol, C12-15 Alkyl Benzoate, Kaolin, Glyceryl Stearate Citrate, Pvp, Sodium Benzoate, Polyacrylate Crosspolymer-6, Glycerin, Vanillyl Butyl Ether, Ci 16035, Caprylyl Glycol, Chlorphenesin, Disodium Edta, Schinus Terebinthifolius Seed Extract, Sodium Hyaluronate, Caffeine, Lecithin, Coffea Arabica Leaf/Seed Extract, Hydrolyzed Collagen, Hydrolyzed Elastin, Phenoxyethanol, Caprylyl Glycol, Fragrance, Butylphenyl Methylpropional, Limonene, Hexyl Cinnamal, Benzyl Salicylate, Glycerin, Paullinia Cupana Seed Extract, Water, Butylene Glycol, Xanthan Gum.",0,0,0,1,111.444565,256.74155,
484,body_Oily,CLARINS,Body Fit Anti-Cellulite Contouring Expert,['71'],"Water, Alcohol, Glycerin, Butylene Glycol,Dimethicone, Corylus Avellana (Hazel) Seed Oil, Dicaprylyl Carbonate, Caffeine, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Tauratecopolymer, Fragrance, Menthol, Polysilicone-11, Ppg-5-Ceteth-20, Escin, Sodium Acrylates Copolymer, Hydrogenated Polyisobutene, Cydonia Oblonga Leaf Extract, Disodium Edta, Hdi/Trimethylolhexyllactone Crosspolymer, Phospholipids, Tocopherol, Celosiacristata Flower Extract, Polyglyceryl-10 Stearate, Helianthus Annuus (Sunflower) Seed Oil, Scabiosa Arvensis Extract, Ethylene Brassylate, Baccharis Genistelloides Extract, Caprylyl Glycol, Decylglucoside, Mentha Aquatica Leaf Extract, Potassium Sorbate, Silica, Ci 14700/Red 4.",1,1,1,1,-279.48706,-71.74126,
485,body_Oily,CLARINS,Tonic Body Treatment Oil,['66'],"Corylus Avellana (Hazel) Seed Oil, Pelargonium Graveolens Flower Oil, Rosmarinus Officinalis (Rosemary) Leaf Oil, Aniba Rosaeodora (Rosewood) Wood Oil, Mentha Arvensis Leaf Oil, Linalool, Citronellol, Geraniol, Limonene, Citral, Benzyl Benzoate.",1,1,1,1,167.09763,-65.7126,
486,body_Oily,BEAUTYBIO,GloPRO® BODY MicroTip™ Attachment Head,['45'],"BeautyBio at Sephora is bringing truth to beauty with total transparency. Shop the rose quartz roller, GloPRO and recovery cream so you revolutionize your beauty routine.",0,0,0,1,-110.93397,-163.67276,
487,body_Oily,NUFACE,NuBODY Skin Toning Device,['399'],"Hydrating Leave-On Gel Primer:
-Hyaluronic acid: Supreme hydration, increases skin fullness and in combination with microcurrent, helps skin feel softer and smoother.
-Phytomoist Complex: Derived from edible mushrooms, has 400 times more moisturizing power than sodium hyaluronate to instantly and deeply hydrate skin; improves skin softness and diminishes signs of fine lines associated with dry skin.

Water, Propanediol, Hydrolyzed Hyaluronic Acid, Tremella Fuciformis Sporocarp Extract, Betaine, Glycerin, Magnesium Sulfate, Carbomer, Hydroxyethyl-cellulose, Ethylhexylglycerin.",0,0,0,1,237.20662000000002,107.5083,
488,body_Oily,DERMAFLASH,DERMAFLASH ONE - Exfoliation & Peach Fuzz Removal Device,['139'],"PREFLASH Cleanser:
Purified Water, Sodium Lauroyl Methyl Isethionate, Acrylates Crosspolymer-4, Cetyl Hydroxyethylcellulose, Papain, Phospholipids, Glucosamine HCI, Aphanizomenon Flos-Aquae Powder, Salix Alba Bark Extract, Salicylic Acid, Yeast Extract, Glycerin, Leuconostoc/Radish Root Ferment Filtrate, Phenoxyethanol, Urea, Potassium Sorbate, Sodium Benzoate, Sodium Hydroxide, Disodium EDTA.

POSTFLASH Moisturizer:
Purified Water, Caprylic/Capric Triglyceride, Glycerin, Cetearyl Alcohol, Polysorbate 60, Yucca Glauca Root Extract, Ceramide 2, Sodium Hyaluronate, Phospholipids, Tocopheryl Acetate, Retinyl Palmitate, Tetrapeptide-21, Caffeine, Ascorbyl Palmitate, Resveratrol, Bisabolol, Sodium PCA, Camellia Sinensis Leaf Extract, Leuconostoc/Radish Root Ferment Filtrate, Polyacrylamide, Cetearyl Glucoside, Glyceryl Stearate, C13-14 Isoparaffin, Laureth-7, PEG-100 Stearate, Caprylyl Glycol, Butylene Glycol, Phenoxyethanol, Sorbic Acid, Disodium EDTA.",0,0,0,1,51.55735,89.064995,
489,body_Oily,CLARINS,Masvelt Body Shaping Cream,['71'],"At Clarins, the world of plants in an endless source of inspiration, innovation, and discovery. Our scientists travel the world in search of the most powerful plant ingredients and harness their natural energy for anti-aging treatments of unrivaled efficacy. Real beauty - made in France.",1,1,1,1,-264.95358,133.25789,
490,body_Oily,FARMACY,Freshen Up All-Natural Deodorant,['15'],"-Moringa: Helps purify skin by removing impurities caused by pollution.
-Papaya: Gently brightens and helps reduce the appearance of discoloration.
-Kaolin Clay: Draws out surface impurities and absorbs wetness.

Water, Propanediol, Sodium Stearate, Cyclodextrin, Silica, Coconut Alkanes, Moringa Oleifera Seed Oil, Kaolin, Papain, Garcinia Cambogia Fruit Extract, Melaleuca Alternifolia (Tea Tree) Leaf Oil, Mentha Piperita (Peppermint) Oil, Cocos Nucifera (Coconut) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Rosmarinus Officinalis (Rosemary) Leaf Oil, Polyglyceryl-10 Oleate, Wasabia Japonica Root Extract, Laurus Nobilis Leaf Extract, Lavandula Angustifolia (Lavender) Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil, Diospyros Kaki Leaf Extract, Chamaecyparis Obtusa Leaf Extract, Camellia Sinensis Leaf Extract, Sophora Japonica Fruit Extract, Artemisia Princeps Extract, Melia Azadirachta Leaf Extract, Rosa Canina Fruit Extract, Chamomilla Recutita (Matricaria) Flower Extract, Zingiber Officinale (Ginger) Root Oil, Melia Azadirachta Flower Extract, Citrus Aurantium Dulcis (Orange) Peel Oil, Citrus Aurantium Bergamia (Bergamot) Peel Oil, Citrus Aurantifolia (Lime) Oil, Polyglyceryl-10 Myristate, Polyglyceryl-6 Dioleate, Polyglyceryl-4 Laurate, Cananga Odorata Flower Oil, Caprylic/Capric Triglyceride, Decyl Glucoside, Xanthan Gum.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",0,0,0,1,-83.777565,219.5312,
