index,Label,brand,name,price,ingredients,Combination,Dry,Normal,Oily,X,Y,dist
187,moisturizers_Oily,MARC JACOBS BEAUTY,Glow Away Bronzing Coconut Body Stick,['39'],"-Five Forms of Coconut: Help nurture skin by providing a rich source of nutrients and vitamins.

Aqua/Water/Eau, Polymethylsilsesquioxane, Mica, Silica, Paraffin, Diisostearyl Malate, Ethylhexyl Stearate, Triethylhexanoin, Hydrogenated Polyisobutene, Hdi/Trimethylol Hexyllactone Crosspolymer, Coconut Alkanes, C9-12 Alkane, Polyethylene, Octyldodecyl Stearoyl Stearate, Polymethyl Methacrylate, Sorbitan Isostearate, Cera Microcristallina/Microcrystalline Wax/Cire Microcristalline, 1,2-Hexanediol, Cocos Nucifera (Coconut) Oil, Phenoxyethanol, Parfum/Fragrance, Coco-Caprylate/Caprate, Lauroyl Lysine, Stearalkonium Hectorite, Ethylhexylglycerin, Glycerin, Cocos Nucifera (Coconut) Water, Cocos Nucifera (Coconut) Fruit Juice, Cocos Nucifera (Coconut) Fruit Extract, Tocopheryl Acetate, Camellia Sinensis Leaf Extract, Butylene Glycol, Sodium Benzoate, Tocopherol, Bht, Potassium Sorbate, Linalool, Coumarin, Titanium Dioxide (Ci 77891), Iron Oxides (Ci 77491, Ci 77492, Ci 77499).",0,0,0,1,-2.3525646,4.892437,5.110167474055648
139,moisturizers_Oily,KIEHL'S SINCE 1851,Crème de Corps,['30'],"-Squalane: Leaves skin feeling soft.
-Cocoa Butter: Moisturizes and lubricates skin.

Water, Squalane, Hydrogenated Polyisobutene, Glycerin, Propylene Glycol, PEG-100 Stearate, Glyceryl Stearate, Stearyl Alcohol, Myristyl Alcohol, Dimethicone, PEG-5 Pentaerythrityl Ether, PPG-5 Pentaerythrityl Ether, Sesamum Indicum Seed Oil/Sesame Seed Oil, Phenoxyethanol, Isopropyl Palmitate, Ozokerite, Benzophenone-3, Butyrospermum Parkii Butter/Shea Butter, Methylparaben, Argilla/Magnesium Aluminum Silicate, Xanthan Gum, Glycine Soja Sterols/Soybean Sterols, Sodium PCA, Propylparaben, Allantoin, Olea Europaea Oil/Olive Fruit Oil, Prunus Amygdalus Dulcis Oil/Sweet Almond Oil, Prunus Armeniaca Kernel Oil/Apricot Kernel Oil, Theobroma Cacao Seed Butter/Cocoa Seed Butter, Persea Gratissima Oil/Avocado Oil, Tocopherol, Glycine Soja Oil/Soybean Oil, BHT, Lecithin, Butylparaben, Helianthus Annuus Seed Oil/Sunflower Seed Oil, Aloe Barbadensis Leaf Juice Powder, CI 75130/Beta-Carotene, Citric Acid.",0,0,0,1,-2.5097318,7.177702,6.927766181791064
193,moisturizers_Oily,ALGENIST,GENIUS Liquid Collagen Body Mylk,['60'],"-Alguronic Acid: Provides anti-aging and anti-wrinkle benefits.
-Active Vegan Collagen: Helps to strengthen and condition the skin to visibly improve resiliency and bounce.
-Lactic Acid: Revitalizes skin and evens skin tone.

Water (Aqua, Eau), Glycerin, Butylene Glycol, Caprylic/Capric Triglyceride, Niacinamide, Butyrospermum Parkii Butter, Persea Gratissima Oil, Collagen, Simmondsia Chinensis Oil, Stearic Acid, Xylitol, Silica, Lactic Acid, Parachlorella Beijerinckii Exopolysaccharides, Chlorella Protothecoides Oil, Collagen Amino Acids, Benzyl Alcohol, Hydrogenated Lecithin, Squalene, Limnanthes Alba Seed Oil, Xanthan Gum, Aloe Barbadensis Leaf Juice, Sodium Benzoate, Potassium Sorbate, Parfum, Tromethamine, Sodium Polyacrylate, Phenoxyethanol, Hydrogenated Starch Hydrolysate, Tocopheryl Acetate, BHT, Coumarin, Leuconostoc/Radish Root Ferment Filtrate, Aphanizomenon Flos-Aquae Extract.",0,0,0,1,0.60928905,4.551350599999999,7.284184734207895
157,moisturizers_Oily,L'OCCITANE,Shea Butter Foot Cream,['29'],"-Shea Butter: Helps nurture and soften dry skin.
-Arnica: Refreshes tired feet.
-Lavender Essential Oil: Has soothing properties.

Aqua/Water, Butyrospermum Parkii (Shea) Butter, Glycerin, Tapioca Starch, Helianthus Annuus (Sunflower) Seed Oil, Glyceryl Stearate Se, Octyldodecanol, Lavandula Angustifolia (Lavender) Oil, Heterotheca Inuloides Flower Extract, Cocos Nucifera (Coconut) Oil, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Propylene Glycol, Sodium Stearoyl Glutamate, Xanthan Gum, Tocopherol, Panthenol, Polysorbate 60, Sorbitan Isostearate, Citric Acid, Ethylhexylglycerin, Sorbitol, Phenoxyethanol, Benzoic Acid, Dehydroacetic Acid, Parfum/Fragrance, Linalool, Geraniol, Limonene, Citronellol.",0,0,0,1,-1.0462909,6.6703753,7.604227452882553
166,moisturizers_Oily,MOROCCANOIL,Body Butter,['56'],"-Argan Oil: Very rich in tocopherols (Vitamin E), essential fatty acids, and antioxidants; helps to hydrate and nourish the skin to help improve its texture and tone.
-Shea Butter: Rich in essential fatty acids that help increase moisture and support the skin’s barrier.
-Olive and Avocado Oils: Contains powerful antioxidants that help build the skin’s natural defenses and restore moisture.

Water, Octyldodecanol, C12-15 Alkyl Benzoate, Cetearyl Alcohol, Glycerin, Cetyl Alcohol, Myristyl Myristate, Glyceryl Stearate, Fragrance, Cetearyl Glucoside, Phenyl Trimethicone, Argania Spinosa (Argan) Kernel Oil, Butyrospermum Parkii (Shea) Butter, Theobroma Cacao (Cocoa) Seed Butter, Mangifera Indica (Mango) Seed Butter, Olea Europaea (Olive) Fruit Oil, Persea Gratissima (Avocado) Oil, Punica Granatum Seed Oil, Glycine Soja (Soybean) Oil, Squalane, Glucose, Ribose, Xylitylglucoside, Biosaccharide Gum-1, Tocopherol, Tocopheryl Acetate, Ascorbyl Palmitate, Allantoin, Anhydroxylitol, Xylitol, Dimethicone, BHT, Hydrogenated Polyisobutene, Ethylene/Propylene/Styrene Copolymer & Butylene/Ethylene/Styrene Copolymer, Sodium Stearoyl Glutamate, Sodium Polyacrylate, Disodium Edta, Caprylyl Glycol, Phenoxyethanol, Chlorphenesin, Alpha-Isomethyl Ionone, Butylphenyl Methylpropional, Linalool, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Eugenol.",1,1,1,1,-2.7436457,8.903825999999999,7.958402422252182
140,moisturizers_Oily,SOL DE JANEIRO,Bum Bum Sol Oil SPF 30,['38'],"Homosalate, Octocrylene, Octisalate Avobenzone, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Cocos Nucifera (Coconut) Oil, Vitis Vinifera (Grape) Seed Oil, Neopentyl Glycol Diheptanoate, Octyldodecanol, Fragrance, Dicaprylyl Carbonate, Euterpe Oleracea (Açaí) Fruit Oil, Mica, Silica, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Tin Oxide, Tocopherol, Tocopheryl Acetate, Calcium Aluminum Borosilicate, Iron Oxides, Titanium Dioxide.",0,0,0,1,-0.66107917,7.292578999999999,8.257242998131238
183,moisturizers_Oily,LA MER,The Renewal Body Oil Balm,['195'],"Glycine Soja (Soybean) Oil, Hydrogenated Polydecene, Dimethicone, Limnanthes Alba (Meadowfoam) Seed Oil, Helianthus Annuus (Sunflower) Seed Oil, Dextrin Palmitate, Trisiloxane, Olea Europaea (Olive) Fruit Oil, Algae (Seaweed) Extract, Sesamum Indicum (Sesame) Seed Oil, Medicago Sativa (Alfalfa) Seed Powder, Helianthus Annuus (Sunflower) Seedcake, Prunus Amygdalus Dulcis (Sweet Almond) Seed Meal, Eucalyptus Globulus (Eucalyptus) Leaf Oil, Sodium Gluconate, Copper Gluconate, Calcium Gluconate, Magnesium Gluconate, Zinc Gluconate, Tocopheryl Succinate, Niacin, Sesamum Indicum (Sesame) Seed Powder, Water\Aqua\Eau, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Brassica Campestris (Rapeseed) Seed Oil, Oxycoccus Palustris (Cranberry) Seed Oil, Persea Gratissima (Avocado) Oil, Citrus Aurantifolia (Lime) Peel Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Triticum Vulgare (Wheat) Germ Oil, Vegetable Oil\Olus\Huile Vegetale, Prunus Armeniaca (Apricot) Kernel Oil, Hippophae Rhamnoides Oil, Oenothera Biennis (Evening Primrose) Oil, Rosa Canina (Rose) Fruit Oil, Tocopherol, Vitis Vinifera (Grape) Seed Oil, Camelina Sativa Seed Oil, Simmondsia Chinensis (Jojoba) Seed Oil, Glycerin, Polysorbate 80, Caprylyl Glycol, Caprylic/Capric Triglyceride, Silica, Fragrance (Parfum), BHT, Limonene, Linalool, Benzyl Benzoate, Coumarin, Citronellol, Geraniol, Hydroxycitronellal, Citral, Alcohol Denat.",0,0,0,1,3.300075,3.72281,8.497417610689702
180,moisturizers_Oily,DIOR,J'adore Body Milk,['55'],"Aqua (Water), Alcohol, Dimethicone, Parfum (Fragrance), Diethylhexylcyclohexane, Glycerin, Aluminum Starch Octenylsuccinate, Coco-Caprylate/Caprate, Stearyl Dimethicone, Pentylene Glycol, Isononyl Isononanoate, Cetyl Alcohol, Stearyl Alcohol, Steareth-21, Phenoxyethanol, Steareth-2, Butylene Glycol, Carbomer, Sodium Cetearyl Sulfate, Hexyl Cinnamal, Tetrasodium Edta, Alpha-Isomethyl Ionone, Hydroxycitronellal, Jasminum Officinale (Jasmine) Flower Extract, Sodium Hydroxide, Citronellol, Limonene, Gossypium Herbaceum (Cotton) Extract, Bht, Linalool, Geraniol, Rosa Damascena Flower Water, Cinnamal, Cinnamyl Alcohol, Isoeugenol, Ci 19140 (Yellow 5), Tocopherol, Ci 14700 (Red 4).",0,0,0,1,1.07647,6.198494999999999,8.648576636559074
136,moisturizers_Oily,SOL DE JANEIRO,Coco Cabana Body Cream - With New Coconut Scent and Plush Moisture,['45'],"- CocoSugar Blend: A natural humectant rich in nutrients, fermented sugar draws moisture from the air when applied to the skin.
- Coconut Oil: Ultra-nurturing coconut oil softens, conditions, and moisturizes.
- Cupuaçu Butter: Heightens skin hydration, helps to support skin’s natural elasticity, and locks in moisture.

Aqua (Water/Eau), Propanediol (Fermented Sugar/Sucre Fermenté), Dodecane, Caprylic/Capric Triglyceride, Saccharide Isomerate, Citric Acid, Sodium Citrate, Parfum (Fragrance), Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Cocos Nucifera (Coconut/Noix de Coco) Oil, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Euterpe Oleracea (Açaí/Açaï) Fruit Oil, Zingiber Officinale (Ginger/Gingembre) Root Extract, Glycerin, Sodium Phytate, Bisabolol, Sodium Carboxymethyl Beta-Glucan, Panthenol, Sodium Hyaluronate, Acrylates/C10-30 Alkyl Acrylate Crosspolymer, Phenoxyethanol, Ethylhexylglycerin, Benzyl Benzoate, Sodium Hydroxide.",0,0,0,1,-1.8018008,9.134058,8.6825647221139
146,moisturizers_Oily,BECCA COSMETICS,Ignite Liquified Light Face & Body Highlighter,['38'],"-Sunflower Oil and Vitamin E: Nourish, moisturize, and visibly soften skin.

Hydrogenated Polyisobutene, Isododecane, Isohexadecane, Ethylene/Propylene/Styrene Copolymer, Butylene/Ethylene/Styrene Copolymer, Caprylyl Glycol, Helianthus Annuus (Sunflower) Seed Oil, Daucus Carota Sativa (Carrot) Root Extract, Tin Oxide, Synthetic Fluorphlogopite, Silica, Fragrance (Parfum), Tocopheryl Acetate, Bht, Tocopherol, [+/- Mica, Titanium Dioxide (Ci 77891), Bismuth Oxychloride (Ci 77163), Iron Oxides (Ci 77491), Iron Oxides (Ci 77492), Iron Oxides (Ci 77499)].",0,0,0,1,2.214833,5.76609,9.058488647216935
