index,Label,brand,name,price,ingredients,Combination,Dry,Normal,Oily,X,Y,dist
36,soap_Oily,NÉCESSAIRE,The Body Wash,['25'],"-Niacinamide (Vitamin B3): Cleanses, nourishes, and balances.

Water (Purified Deionized Water), Sodium Laurylglucosides Hydroxypropylsulfonate (Derived from Coconut and Corn), Coco-Glucoside (Derived from Coconut and Sugar Cane), Disodium Cocoamphodiacetate (Derived from Coconut), Glycerin (Derived from Sustainable Palm), Sodium Methyl Cocoyl Taurate (Derived from Coconut), Sodium Chloride, Niacinamide (Vitamin B3), Tocopherol (Vitamin E), Saccharum Officinarum (Sugar Cane) Extract, Pyrus Malus (Apple) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Camellia Sinensis (Green Tea) Leaf Extract, Sclerocarya Birrea (Marula) Seed Oil, Caryodendron Orinocense (Cacay) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Caprylyl Glycol, Phenoxyethanol, Citric Acid (Derived from Corn), Chlorphenesin, Sodium Phytate (Derived from Rice).

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",0,0,0,1,136.75421,-117.82842,55.32988213418768
35,soap_Oily,SOL DE JANEIRO,Bum Bum Body Scrub,['42'],"-Crushed Cupuaçu Seeds: Gently buff and smooth while bringing a luxurious creaminess.
-Sugar Crystals: A natural humectant and gentle exfoliator to refresh skin’s appearance.
-Pressed Pure Coconut Oil: Kisses skin with light, luscious moisture.

Sucrose, Cocos Nucifera (Coconut) Oil, Sodium Chloride, Cetearyl Olivate, Sorbitan Olivate, Olus Oil (Vegetable Oil, Huile Végétale), Parfum (Fragrance), Silica, Euterpe Oleracea (Açaí) Fruit Oil, Theobroma Grandiflorum (Cupuaçu) Seed Powder, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Paullinia Cupana (Guaraná) Seed Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Glycerin, Aqua (Water, Eau), Oryza Sativa (Rice) Bran Extract, Glyceryl Caprylate, Caprylhydroxamic Acid, Phenoxyethanol, Synthetic Fluorphlogopite, Tin Oxide, Benzyl Alcohol, Benzyl Salicylate, Coumarin, Limonene, CI 77891 (Titanium Dioxide).",0,0,0,1,17.665775,2.7006464,57.39711972316073
57,soap_Oily,SEPHORA COLLECTION,Fizzing Bath Star Mini - Surprise Flowers,['2'],"Sodium Bicarbonate, Citric Acid, CI 77891 (Titanium Dioxide), Monosodium Citrate, PEG-150, Sucrose, Maltodextrin, Talc, Fragrance, Hydrated Silica, Linalool, Eugenol, Citral, Cinnamyl Alcohol, Isoeugenol, Limonene, Geraniol.",0,0,0,1,63.457043000000006,-31.898745,71.44790897200015
37,soap_Oily,HERBIVORE,Coco Rose Exfoliating Body Scrub,['36'],"-Virgin Coconut Oil: Provides intensive hydration, replenishment, and nourishment to the skin with lauric acid, proteins, and fatty acids.
-Moroccan Rose Oil: Increases hydration and reduces redness.
-Sugar: Gently exfoliates and renews for glowing, soft skin.

Sucrose (Sugar), Cocos Nucifera (Organic Virgin Coconut) Oil, Capric Triglycerides, Cetearyl Olivate, Sorbitan Olivate, Butyrospermum Parkii (Shea) Butter, Limnanthes alba (Meadowfoam) Seed Oil, Rosa damascena (Moroccan Rose) Absolute, Rose Clay.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",1,1,1,1,112.57408999999998,-62.54948,89.95485179618106
49,soap_Oily,YUNI,SHOWER SHEETS Large Body Wipes,['15'],"-Neem Extract: Naturally antibacterial.
-Peppermint: Refreshes.
-Citrus: Energizes.

Water Saccharomyces Ferment Filtrate Glycerin Pyrus Malus (Apple) Fruit Extract Polyglyceryl-4 Caprate Citrus Aurantium Amara (Bitter Orange) Leaf/Twig Oil Mentha Arvensis Leaf Oil Mentha Piperita (Peppermint) Oil Lavandula Angustifolia (Lavender) Oil Citrus Aurantium Bergamia (Bergamot) Fruit Oil Citrus Limon (Lemon) Peel Oil Rosmarinus Officinalis (Rosemary) Leaf Oil Mentha Viridis (Spearmint) Leaf Oil Citrus Aurantium Dulcis (Orange) Peel Oil Ormenis Multicaulis Oil Salvia Sclarea (Clary Sage) Oil Melia Azadirachta Leaf Extract Aloe Barbadensis Leaf Extract Chamomilla Recutita (Matricaria) Flower Extract Cucumis Sativus (Cucumber) Fruit Extract Panax Ginseng Root Extract Camellia Sinensis (Green Tea) Leaf Extract Camellia Sinensis (White Tea) Leaf Extract Decyl Glucoside Citric Acid Gluconic Acid Tetrasodium Glutamate Diacetate Potassium Sorbate Sodium Benzoate.",1,1,1,1,12.495573,57.908253,106.71632650015243
55,soap_Oily,PETER THOMAS ROTH,Hand Sanitizer Alcohol Antiseptic 80% Topical Solution,['16'],"-Alcohol 80%: Acts as an antiseptic.

Active Ingredient: Alcohol 80% V/V (Antiseptic), Inactive Ingredients: Glycerin, Hydrogen Peroxide, Purified Water USP.",0,0,0,1,-32.73753,103.19961500000001,106.76047112391672
44,soap_Oily,MOROCCANOIL,Shower Gel,['30'],"-Argan Oil: Extremely rich in tocopherols (vitamin E), essential fatty acids, and antioxidants, this natural oil helps to hydrate and nourish to help improve skin’s texture and tone.
-Glycerin: A humectant that helps support skin’s natural elasticity and provide long-lasting moisture.

Water, Sodium C14-16 Olefin Sulfonate, Cocamidopropyl Betaine, Disodium Lauroamphodiacetate, Fragrance, Glycerin, Peg-120 Methyl Glucose Dioleate, Peg-120 Methyl Glucose Trioleate, Argania Spinosa (Argan) Kernel Oil, Peg-40 Hydrogenated Castor Oil, Peg-7 Glyceryl Cocoate, Polyquaternium-10, Citric Acid, Caprylyl Glycol, Propylene Glycol, Isopropyl Alcohol, Tetrasodium Edta, Chlorphenesin, Sodium Glycolate, Propanediol, Phenoxyethanol, Sodium Acetate, Sodium Hydroxide, CI 15985 (Yellow 6), CI 16035 (Red 40).",1,1,1,1,69.447975,21.062176,120.99888862853821
41,soap_Oily,DRUNK ELEPHANT,Kamili™ Cream Body Cleanser,['20'],"-Passionfruit Oil: Commonly known as maracuja oil, it’s used for its rich moisturizing properties and skin-soothing benefits.
- Multi-Amino Acid Blend: A mix of quick-absorbing amino acids soothes, strengthens and moisturizes skin.
- Ultra-Mild Surfactant Blend: A stack of gentle cleansing agents, including coconut-based surfactants rich in fatty acids, that work together to create a rich foam that effectively lifts dirt and other substances from skin without stripping or drying.

Water/Aqua/Eau, Sodium Laurylglucosides Hydroxypropylsulfonate, Coco-Glucoside, Glycerin, Cocamidopropyl Betaine, Sodium Methyl Cocoyl Taurate, Sodium Chloride, Sclerocarya Birrea Seed Oil, Coconut Alkanes, Passiflora Edulis Seed Oil, Plukenetia Volubilis Seed Oil, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Caprylic/Capric Triglyceride, Cassia Hydroxypropyltrimonium Chloride, Carbomer, Sodium PCA, Panthenol, Glycol Distearate, Sodium Lactate, Helianthus Annuus (Sunflower) Seed Oil, Glycine Soja (Soybean) Oil, PCA, Alanine, Arginine, Glycine, Histidine, Isoleucine, Phenylalalnine, Proline, Serine, Threonine, Valine, Coco-Caprylate/Caprate, Aspartic Acid, Prunus Amygdalus Dulcis (Sweet Almond) Seed Extract, Benzoic Acid, Phenoxyethanol, Dehydroacetic Acid, Sodium Acetate

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer, styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",0,0,0,1,122.13025,-7.641763,136.0860613230188
52,soap_Oily,JACK BLACK,Charcoal Body Bar Massaging Soap,['15'],"-Charcoal: Deodorizes skin and removes buildup by drawing it to the surface of the skin.
-Glycerin: Draws moisture from the air and helps keep that moisture in skin.
-Jojoba Beads: Exfoliate skin to remove dead skin cells and smooth skin.
-Seaweed Extract: Features anti-inflammatory properties to soothe skin and reduce irritation.

Sodium Palmate*, Sodium Cocoate, Water, Glycerin, Fragrance, Jojoba Esters, Saccharomyces Ferment, Carbon, Hypnea Musciformis Extract, Gelidiella Acerosa Extract, Sargassum Filipendula Extract, Sodium Chloride, Sodium Gluconate, Sorbitol, Iron Oxides (CI 77499), Pentasodium Pentetate, Tetrasodium Etidronate, Phenoxyethanol, Ethylhexylglycerin, Benzyl Benzoate, Benzyl, Salicylate, Citral, Citronellal, Coumarin, Eugenol, Hexyl Cinnamal, Limonene, Linalool.

*From Rainforest Alliance Certified™ farms.",1,1,1,1,176.58542,-54.309883,140.63794958593834
48,soap_Oily,REN CLEAN SKINCARE,Atlantic Kelp and Magnesium Salt Anti-Fatigue Exfoliating Body Scrub,['49'],"-Sea Salt: Removes dead cells and supports cell renewal.
-Magnesium (Epsom) Salts: Relaxes and soothes stressed skin.
-Microalgae Oil: Restores hydration level and strengthens skin barrier.
-REN's Anti-Fatigue Essential Oil Blend: Delivers aromatherapy energizing properties.

Caprylic/Capric Triglyceride, Magnesium Sulfate, Glyceryl Stearate Se, Ethylhexyl Palmitate, Maris Sal, Chlorella Protothecoides Oil, Caprylyl/Capryl Glucoside, Aqua (Water), Polyglyceryl-5 Oleate, Sodium Cocoyl Glutamate, Rosmarinus Officinalis (Rosemary) Leaf Oil, Glycerin, Magnesium Pca, Pelargonium Graveolens (Geranium) Oil, Salvia Sclarea (Clary Sage) Extract, Tocopherol, Citric Acid, Glyceryl Caprylate, Cupressus Sempervirens (Cypress) Leaf/Stem Extract, Laminaria Digitata Extract, Parfum* (Fragrance), Sodium Levulinate, Potassium Sorbate, Citronellol, Geraniol, Linalool. *100% Natural Fragrance.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",1,1,1,1,66.135666,76.543236,151.91918290669145
