index,Label,brand,name,price,ingredients,Combination,Dry,Normal,Oily
0,soap,FIRST AID BEAUTY,KP Bump Eraser Body Scrub with 10% AHA,['28'],"-Pumice Buffing Beads: Exfoliate particles to remove dead cells.
-Glycolic and Lactic Acids: Exfoliate to help skin appear bright.
-Bisabolol: Soothes skin.

Pumice, Water, Glycolic Acid, Sodium Cocoyl Isethionate, Lactic Acid, Dimethicone, Stearic Acid, Cetearyl Alcohol, Sodium Hydroxide, Palmitic Acid, Glycerin, C12-15 Alkyl Benzoate, Sorbitol, Colloidal Oatmeal, Tocopherol, Chrysanthemum Parthenium (Feverfew) Extract, Camellia Sinensis Leaf Extract, Glycyrrhiza Glabra (Licorice) Root Extract, Salix Nigra (Willow) Bark Extract, Bisabolol, Hydrogenated Coconut Acid, Xanthan Gum, Steareth-20, Steareth-21, Myristic Acid, Sodium Isethionate, Phenoxyethanol, Potassium Sorbate, Sodium Benzoate, Leuconostoc/Radish Root Ferment Filtrate, EDTA.",1,0,0,0
1,soap,SOL DE JANEIRO,Bum Bum Body Scrub,['42'],"-Crushed Cupuaçu Seeds: Gently buff and smooth while bringing a luxurious creaminess.
-Sugar Crystals: A natural humectant and gentle exfoliator to refresh skin’s appearance.
-Pressed Pure Coconut Oil: Kisses skin with light, luscious moisture.

Sucrose, Cocos Nucifera (Coconut) Oil, Sodium Chloride, Cetearyl Olivate, Sorbitan Olivate, Olus Oil (Vegetable Oil, Huile Végétale), Parfum (Fragrance), Silica, Euterpe Oleracea (Açaí) Fruit Oil, Theobroma Grandiflorum (Cupuaçu) Seed Powder, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Paullinia Cupana (Guaraná) Seed Extract, Rosmarinus Officinalis (Rosemary) Leaf Extract, Tocopherol, Helianthus Annuus (Sunflower) Seed Oil, Glycerin, Aqua (Water, Eau), Oryza Sativa (Rice) Bran Extract, Glyceryl Caprylate, Caprylhydroxamic Acid, Phenoxyethanol, Synthetic Fluorphlogopite, Tin Oxide, Benzyl Alcohol, Benzyl Salicylate, Coumarin, Limonene, CI 77891 (Titanium Dioxide).",0,0,0,1
3,soap,SOL DE JANEIRO,Brazilian Touch Hand Sanitizer Spray,['10'],"Alcohol 80%, Aqua (water), glycerine, hydrogen peroxide, parfum (fragrance), ethylhexyl methoxycinnamate, ethylhexyl salicylate, butyl methoxydibenzoylemethane, CI 15985 (yellow 6), CI 14700 (red 4), CI 19140 (yellow 5).",0,0,0,0
4,soap,NÉCESSAIRE,The Body Wash,['25'],"-Niacinamide (Vitamin B3): Cleanses, nourishes, and balances.

Water (Purified Deionized Water), Sodium Laurylglucosides Hydroxypropylsulfonate (Derived from Coconut and Corn), Coco-Glucoside (Derived from Coconut and Sugar Cane), Disodium Cocoamphodiacetate (Derived from Coconut), Glycerin (Derived from Sustainable Palm), Sodium Methyl Cocoyl Taurate (Derived from Coconut), Sodium Chloride, Niacinamide (Vitamin B3), Tocopherol (Vitamin E), Saccharum Officinarum (Sugar Cane) Extract, Pyrus Malus (Apple) Fruit Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Camellia Sinensis (Green Tea) Leaf Extract, Sclerocarya Birrea (Marula) Seed Oil, Caryodendron Orinocense (Cacay) Seed Oil, Limnanthes Alba (Meadowfoam) Seed Oil, Caprylyl Glycol, Phenoxyethanol, Citric Acid (Derived from Corn), Chlorphenesin, Sodium Phytate (Derived from Rice).

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",0,0,0,1
5,soap,SKINFIX,Resurface+ Glycolic Renewing Body Scrub,['30'],"-Glycolic Acid: Helps slough off dead skin cells and leave a healthy, smooth glow.
-Lactic Acid: Supports natural cell turnover, reduces pigmentation, and brightens the appearance of the skin.

Water, Polylactic Acid, Glycerin, Lactic Acid, Vitis Vinifera (Grape) Seed Oil, Cocos Nucifera (Coconut) Oil, Caprylic/Capric Triglyceride, Glycolic Acid, Cetearyl Alcohol, Stearyl Alcohol, Sodium Hydroxide, Propanediol, Cetearyl Glucoside, Betaine, Bambusa Arundinacea Stem Extract, Vaccinium Myrtillus Fruit Extract, Microcitrus Australasica Fruit Extract, Saccharum Officinarum (Sugar Cane) Extract, Citrus Aurantium Dulcis (Orange) Fruit Extract, Citrus Limon (Lemon) Fruit Extract, Acer Saccharum (Sugar Maple) Extract, Salix Nigra (Willow) Bark Extract, Citrus Aurantifolia (Lime) Oil, Helianthus Annuus (Sunflower) Extract, Prunus Amygdalus Dulcis (Sweet Almond) Oil, Rosmarinus Officinalis (Rosemary) Leaf Extract, Simmondsia Chinensis (Jojoba) Seed Oil, Oryza Sativa (Rice) Bran Extract, Glucose, Caprylyl Glycol, Trisodium Ethylenediamine Disuccinate, Aloe Barbadensis Leaf Juice, Panthenol, Tocopherol, Allantoin, Bisabolol, Phenoxyethanol, Chlorphenesin, Potassium Sorbate, Dehydroxanthan Gum, Citric Acid, Limonene.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",0,0,0,0
6,soap,OUAI,Scalp & Body Scrub,['38'],"-Sugar: Unclogs and gently exfoliates and conditions while increasing microcirculation.
-Probiotic Blend: Supports your scalp and skin’s microbiome’s natural defenses.
-Coconut Oil: Rich in fatty acids that nourish and moisturize the skin, scalp, and hair.

Sucrose, Water, Sodium Lauroyl Methyl Isethionate, Glycerin, Cocamide MEA, Sodium Lauroamphoacetate, Propanediol, PEG-100 Stearate, Glyceryl Stearate, Silica, Prunus Amygdalus Dulcis (Sweet Almond) Oil, C12-15 Alkyl Benzoate, Cocos Nucifera (Coconut) Oil, Menthyl Lactate, Epilobium Angustifolium Flower/Leaf/Stem Extract, Hydrolyzed Hibiscus Esculentus Extract, Apium Graveolens (Celery) Seed Extract, Biotinoyl Tripeptide-1, Panthenol, Aloe Barbadensis Leaf Juice, Capryloyl Glycine, Xylitylglucoside, Saccharide Isomerate, Apigenin, Oleanolic Acid, Hexylene Glycol, PPG-26-Buteth-26, PEG-40 Hydrogenated Castor Oil, Caprylyl Glycol, Caprylic/Capric Triglyceride, PEG-150 Distearate, Parfum (Fragrance), Cocamide MIPA, Sodium Benzoate, Trisodium Ethylenediamine Disuccinate, Lactobacillus Ferment Lysate, BHT, Butylene Glycol, Leuconostoc/ Radish Root Ferment Filtrate, Phenoxyethanol, Sodium Citrate, Citric Acid, Sodium Metabisulfite, Sodium Hydroxide, Linalool, Benzyl Salicylate, Citronellol, Geraniol, Butylphenyl Methylpropional.",0,0,0,0
7,soap,HERBIVORE,Coco Rose Exfoliating Body Scrub,['36'],"-Virgin Coconut Oil: Provides intensive hydration, replenishment, and nourishment to the skin with lauric acid, proteins, and fatty acids.
-Moroccan Rose Oil: Increases hydration and reduces redness.
-Sugar: Gently exfoliates and renews for glowing, soft skin.

Sucrose (Sugar), Cocos Nucifera (Organic Virgin Coconut) Oil, Capric Triglycerides, Cetearyl Olivate, Sorbitan Olivate, Butyrospermum Parkii (Shea) Butter, Limnanthes alba (Meadowfoam) Seed Oil, Rosa damascena (Moroccan Rose) Absolute, Rose Clay.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats , Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles As defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",1,1,1,1
8,soap,FRESH,Brown Sugar Body Polish Exfoliator,['67'],"-Real Brown Sugar Crystals: Act as natural humectants to prevent moisture loss, while gently buffing away dry skin.
-Blend of Evening Primrose, Sweet Almond, Apricot Kernel, And Jojoba Oils: Nourish and moisturize the skin.
-Ginseng Root Extract And Peppermint: Invigorate the senses.

Sucrose, Prunus Amygdalus Dulcis (Sweet Almond)Oil, Prunus Armeniaca (Apricot) Kernel Oil, Simmondsia Chinensis(Jojoba) Seed Oil, Oenothera Biennis (Evening Primrose) Oil, CitrusLimon (Lemon) Peel Oil, Passiflora Incarnata Seed Oil, Citrus Grandis(Grapefruit) Peel Oil, Helianthus Annuus (Sunflower) Seed Oil, LitseaCubeba Fruit Oil, Citrus Aurantium Bergamia (Bergamot) Fruit Oil,Citrus Aurantium Dulcis (Orange) Oil, Cymbopogon SchoenanthusOil, Panax Ginseng Root Extract, Tocopherol, Limonene, Citral,Linalool, BHT, Triethyl Citrate.

Clean at Sephora products are formulated without:
Sulfates—SLS + SLES, Parabens, Formaldehydes, Formaldehyde-releasing agents, Phthalates, Mineral Oil, Retinyl Palmitate, Oxybenzone, Coal Tar, Hydroquinone, Triclosan, Triclocarban, Undisclosed synthetic fragrances (Products can be formulated with disclosed synthetic fragrances that meet the following two criteria: (1) the synthetic fragrances do not include any of the ingredients listed in numbers 1 through 12 above and (2) the synthetic fragrances are at a concentration below 1% of the total formula) The following type of acrylates: (ethyl acrylate, ethyl methacrylate, methyl methacrylate, butyl methacrylate, hydroxypropyl methacrylate, tetrahydrofurfuryl methacrylate, trimethylolpropane trimethacrylate , aluminum salts), Animal Oils/Musks/Fats, Benzophenone + Related Compounds, Butoxyethanol, Carbon Black, Lead/Lead Acetate, Methyl Cellosolve + Methoxyethanol, Methylchloroisothiazolinone & Methylisothiazolinone, Mercury + Mercury Compounds (Thimerisol), Insoluble Plastic Microbeads (This prohibited ingredient applies to products that are meant to be rinsed off ), Resorcinol, Talc (Talc that is free of any asbestos can be used in the formulation provided that Brand conducts testing to ensure that talc is free of any asbestos.), Toluene, Butylated hydroxyanisole (BHA), Butylated hydroxytoluene (BHT) that is 0.1% or more of total formula, Ethanolamines DEA/TEA/MEA/ETA, Nanoparticles as defined by the European Commission, Petrolatum and Parrafin that is not USP grade, Phenoxyethanol that is 1% or more of total formulation, Polyacrylamide & Acrylamide, The following types of Styrene (Bromostyrene, Deastyrene/acrylates/dvbcopolymer, sodium styrene/divinylbenzene copolymer , styrene oxide, styrene), 1,4 Dioxane in final formulas must comply with the thresholds as follows: (10 or < ppm for products that are meant to be rinsed off, wiped off or removed, 3ppm or < for products that are meant to remain on the skin).",0,0,0,1
9,soap,L'OCCITANE,Cleansing And Softening Shower Oil With Almond Oil,['25'],"-Almond Proteins
-Almond Oil: Naturally rich in omega 3 fatty acids.

Water, Butyrospermum Parkii (Shea) Butter, Glycerin, Caprylic/Capric Triglyceride, Vitis Vinifera (Grape) Seed Oil, Dicaprylyl Carbonate, Dimethicone, Prunus Armeniaca (Apricot) Kernel Oil, Cetearyl Alcohol, Glyceryl Stearate, Cocos Nucifera (Coconut) Oil, Prunus Amygdalus Dulcis (Sweet Almond) Fruit Extract, Mel Extract/Honey Extract, Hydroxyethyl Acrylate/Sodium Acryloyldimethyl Taurate Copolymer, Tocopherol, Ethylhexylglycerin, Parfum/Fragrance, Xanthan Gum, Propylene Glycol, Sorbitan Isostearate, Polysorbate 60, Chlorphenesin, Peg- 100 Stearate, Phenoxyethanol, Ceteareth-33, Benzyl Alcohol, Benzyl Benzoate, Hydroxyisohexyl 3-Cyclohexene Carboxaldehyde, Linalool, Citronellol, Butylphenyl Methylpropional, Coumarin, Hexyl Cinnamal, Limonene, Geraniol.",0,0,0,0
10,soap,SOL DE JANEIRO,Coco Cabana Moisturizing Body Cream-Cleanser,['25'],"-Coco Sugar Blend: Draws moisture from the air when applied to the skin.
-Coconut Oil: Visibly softens, conditions, and moisturizes.
-Cupuaçu Butter: Heightens skin hydration, visibly supports skin’s natural elasticity, and locks in moisture.

Aqua (Water/Eau), Sodium Cocoyl Isethionate, Sodium Lauroamphoacetate, Cetyl Alcohol, Propanediol, Acrylates Copolymer, Cocos Nucifera (Coconut/Noix de Coco) Oil, Cetearyl Alcohol, Theobroma Grandiflorum (Cupuaçu) Seed Butter, Euterpe Oleracea (Açaí/Açaï) Fruit Oil, Xanthan Gum, Caprylyl Glycol, Phenoxyethanol, Hexylene Glycol, Disodium EDTA, Parfum (Fragrance)",0,0,0,1
